32.34908366203308 16 58
58.67772603034973 18 58
91.87248945236206 18 57
106.99551248550415 19 57
114.66763186454773 19 56
114.8714873790741 20 56
159.47522926330566 21 56
171.41889595985413 22 56
194.2993507385254 23 56
273.51442980766296 24 56
289.26985263824463 24 54
295.7128851413727 24 52
339.0627405643463 25 52
431.80769300460815 26 52
616.6775984764099 27 52
796.600405216217 28 52
884.5614430904388 28 51
1027.4127550125122 29 51
1454.7991092205048 30 51
2231.072962284088 31 51
2542.8304369449615 31 50
3037.7272760868073 32 50
3046.1002435684204 32 49
3661.5150265693665 33 49
5081.111071586609 34 49
6076.205991268158 35 49
7749.402585268021 36 49
8510.060886621475 37 49
8584.126003980637 37 48
9672.359990596771 38 48
11078.041267633438 38 47
11716.154474496841 39 47
15118.456718921661 40 47
17846.230966091156 41 47
18932.398327827454 41 46
19449.919684886932 42 46
19905.550728082657 42 45
23344.219156503677 43 45
23806.78476667404 43 44
23807.459325790405 43 43
