monk3_bin 15 227 25.005812644958496 0.0039675235748291016
helicopter_13_versus_all 1 1 0.04612874984741211 0.00049591064453125
cartpole_12_versus_all 16 1 0.34372854232788086 0.00743865966796875
cartpole_15_versus_all 2 1 0.08283281326293945 0.007935762405395508
cartpole_18_versus_all 2 1 0.0853126049041748 0.007935762405395508
cartpole_20_versus_all 2 1 0.2782561779022217 0.008432388305664062
cartpole_21_versus_all 2 1 0.10366463661193848 0.00942373275756836
cartpole_22_versus_all 2 1 0.10713624954223633 0.00793600082397461
cartpole_28_versus_all 12 1 0.2757759094238281 0.00843191146850586
cartpole_29_versus_all 2 1 0.058528900146484375 0.005951642990112305
cartpole_43_versus_all 2 1 0.13689637184143066 0.01239919662475586
cartpole_44_versus_all 2 1 0.11011290550231934 0.005951881408691406
cartpole_45_versus_all 2 1 0.16417646408081055 0.006943702697753906
cartpole_46_versus_all 2 1 0.19344019889831543 0.00793600082397461
cartpole_47_versus_all 2 1 0.2038567066192627 0.006447315216064453
cartpole_48_versus_all 1 1 0.1696319580078125 0.006447792053222656
cartpole_52_versus_all 20 1 0.4439206123352051 0.01041555404663086
cartpole_74_versus_all 1 1 0.06795191764831543 0.0004963874816894531
10rooms_8_versus_all 26 2143 461.9684281349182 0.020831584930419922
10rooms_9_versus_all 14 866 129.88192009925842 0.01835036277770996
hepatitis 16 2855 780.8328292369843 0.004463911056518555
10rooms_7_versus_all 14 41049 17482.721112966537 0.050095319747924805
helicopter_12_versus_all 2 1 2.382782220840454 0.019838809967041016
primary-tumor-clean 43 1392135 23808.97212457657 0.009424448013305664
